Прізвище,Ім’я,По батькові,Стать,Дата народження,Посада,Місто проживання,Адреса проживання,Телефон,Email
Шинкаренко,Єлисавета,Богданівна,Жінка,2007-05-06,Географ,хутір Голубівка,"проспект Асташкіна, буд. 31, Сторожинець, 63191",+380 (69) 246-34-55,sychihnat@example.net
Негода,Іван,Андрійович,Чоловік,1977-03-05,Акушер,село Чуднів,"шосе Лунний, буд. 37 кв. 8, Тлумач, 01846",+380 61 929-74-84,fedirhohol@example.net
Назаренко,Василь,Михайлович,Чоловік,1986-11-30,Астрофізик,місто Красилів,"вулиця Березовий, буд. 6, Жмеринка, 31859",077 984-52-56,borys08@example.com
Чорновіл,Климент,Володимирович,Чоловік,1996-07-13,Інженер,село Дубно,"набережна Зелена гірка, буд. 7, Каховка, 67542",+380 49 318 76 82,levkohavryshkevych@example.org
Якимчук,Ганна,Володимирівна,Жінка,1948-08-17,Промисловець,хутір Збараж,"парк Одеський, буд. 0 кв. 544, Кобеляки, 09947",+380 (90) 226-44-40,dashenkonazar@example.com
Ляшко,Миколай,Юрійович,Чоловік,1984-05-04,Доцент,хутір Буринь,"проспект Курська, буд. 0 кв. 966, Шумськ, 82377",+380 60 796 35 80,ahavryliv@example.org
Гузій,Ірена,Юріївна,Жінка,1968-08-08,Фізик,село Нововолинськ,"парк Курська, буд. 89 кв. 419, Ямпіль, 82638",407-04-48,oberemkoorysia@example.net
Харченко,Ірина,Богданівна,Жінка,1940-10-27,Пекар,село Суходільськ,"набережна Академіка Воробйова, буд. 43, Бар, 13934",048-35-60,solomiia75@example.net
Бабʼюк,Марко,Богданович,Чоловік,1943-08-23,Адвокат,місто Петрово-Красносілля,"вулиця Артилерійська, буд. 1, Івано-Франківськ, 64253",+380 61 603-57-44,leszharko@example.org
Калениченко,Остап,Юрійович,Чоловік,1992-01-25,Клавішник,хутір Чугуїв,"набережна Івасюка Володимира, буд. 95, Рава-Руська, 44752",284 85 01,vyshniakhordii@example.net
Вернидуб,Макар,Миколайович,Чоловік,1977-03-06,Кур'єр,хутір Сніжне,"площа Геологічна, буд. 6, Бобринець, 44598",041 125-98-46,valentynhres@example.org
Чуприна,Венедикт,Іванович,Чоловік,1980-10-06,Гінеколог,селище Гайворон,"сквер Балтський 2-й, буд. 02 кв. 732, Березань , 41126",+380 (83) 909-52-83,akymenkoedyta@example.com
Ґереґа,Віра,Миколаївна,Жінка,1998-08-14,Гицель,село Бучач,"площа Зоряна, буд. 50, Фастів, 14610",+380 (89) 956-69-88,romanetsleonid@example.net
Жук,Варвара,Сергіївна,Жінка,1997-08-02,Бібліотекар,село Красилів,"проспект Технічний, буд. 509 кв. 72, Хрестівка, 14674",+380 83 528 16 25,albina20@example.com
Оробець,Гордій,Богданович,Чоловік,2001-05-12,Публіцист,місто Корсунь-Шевченківський,"площа Локомотивна, буд. 7, Бунге , 33623",086 505-87-45,savenkoanton@example.org
Єрошенко,Максим,Юрійович,Чоловік,1958-11-03,Ботанік,місто Дніпро ,"вулиця Кондренка, буд. 0 кв. 76, Южноукраїнськ, 79875",005-64-74,liubovbashtan@example.net
Гавришкевич,Олесь,Миколайович,Чоловік,1987-03-14,Художник,село Глухів,"парк Лазурний 5-й, буд. 676, Ямпіль, 83895",+380 18 765-50-60,ovsiienkomaksym@example.com
Штепа,Юстина,Богданівна,Жінка,1946-10-11,Сантехнік,хутір Путивль,"площа Штурманська, буд. 557, Торецьк, 82920",+380 (66) 893-55-61,virashtepa@example.org
Остапчук,Орест,Миколайович,Чоловік,2001-02-11,Каскадер,хутір Дрогобич,"провулок Кісельова Ігоря, буд. 046, Баштанка, 04671",344-44-49,xtovstukha@example.com
Данько,Франц,Михайлович,Чоловік,1994-01-29,Намотувальник,селище Любомль,"провулок Лазурний 2-й, буд. 3 кв. 24, Запоріжжя, 03492",961 70 00,nkhrystych@example.com
